label,source,sentence
fear,tweets,Went to pole class. Feeling discouraged. I am hopeless when it cones to dancing or sexy moves or spreading my legs.
fear,tweets,"yeah i know hun, spammers seem to move fast though, already had two in first few minutes of posting.  Block 'em"
fear,tweets,Why does talksport sound like it's being broadcasted from someone's basement  #quality #amateurs
fear,tweets,My girl needs a hug! She lost here cell phone
fear,tweets,"I've been really tough, but it still sucks to live 5000 miles away from your family when you crave for Korean homemade meal."
fear,tweets,I need someone to watch my yorkie.
fear,tweets,"haha, dork  was it good, then?"
fear,fairytale_sentences,"I don't understand him, said the Snow Man to himself; ""but I have a feeling that he is talking of something very disagreeable."
fear,fairytale_sentences,"When anything had to be done, it was always the elder who was forced to do it; but if his father bade him fetch anything when it was late, or in the night-time, and the way led through the churchyard, or any other dismal place, he answered: ""Oh, no father, I""ll not go there, it makes me shudder!"" for he was afraid."
fear,tweets,I'm sorry to hear about your uncle. I hope you're okay!
fear,tweets,!!  ... maybe they took one look at you and said &quot;That's our girl!&quot;
fear,tweets,Ugh I don't feel well again all of a sudden
fear,tweets,HAPPY MOTHERS DAY!
fear,tweets,"but at what price. The near misses are too many, am afraid it may translate into something else"
fear,tweets,** Slaps self on forehead **  Pardon me!
fear,tweets,That's how you go from series to season. The days of being an elite team are over in Dallas. EPL Derby Day tomorrow. Tell me what I miss.
fear,tweets,This economy thing is getting us down. I stay positive mostly but sometimes it really gets to me. Hoping Todd gets work soon.
fear,tweets,aww sorry ot hear that  least its work though!
fear,tweets,I need a job to keep me above waters...thought I had one but apparently its &quot;Casual&quot; so now on the search again
fear,tweets,I'm just too busy these days to twitter or blog
fear,tweets,Shower. Class. More class. Taking care of my lady-friend. Writing like there's no tomorrow.
fear,tweets,only an hour left with my iPod touch
fear,tweets,"btw, i am actually just trying to get my own lazy bottom in gear.  Me lots to do to and still not dressed !"
fear,tweets,thank for ur gnite and... *thank* for ur photo of sims 3... heart broken here
fear,tweets,"oh well,,,you dunno where i liv eANYWAY!"
fear,emotional_events,When I was told to attend an operation in theatre.
fear,tweets,- Me at Forever 21  Ethan couldn't be there
fear,tweets,get well soon! God is watching over you
fear,tweets,Even the painting is orange!  #terrible #Election2016
fear,tweets,we shall see
